City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Max Temp (C)
94,anadyr,64.75,177.4833,273.43,93,100,6.0,RU,1717020067,0.28000000000002956
95,axim,4.8699,-2.2405,300.42,82,29,4.38,GH,1717020342,27.27000000000004
96,novocheboksarsk,56.111,47.4776,290.46,72,40,3.0,RU,1717020068,17.310000000000002
97,richards bay,-28.783,32.0377,292.81,82,0,5.08,ZA,1717020125,19.660000000000025
98,tolanaro,-25.0319,46.9987,295.19,78,20,4.12,MG,1717020344,22.04000000000002
99,port alfred,-33.5906,26.891,295.12,39,0,4.52,ZA,1717020344,21.970000000000027
100,slave lake,55.2834,-114.769,285.14,66,100,7.72,CA,1717020205,11.990000000000009
101,umm kaddadah,13.6017,26.6876,304.52,9,49,5.05,SD,1717020346,31.370000000000005
102,amuntai,-2.4177,115.2494,296.38,98,100,1.18,ID,1717020347,23.230000000000018
103,palmer,42.1584,-72.3287,297.14,52,93,1.86,US,1717020347,23.99000000000001
104,coquimbo,-29.9533,-71.3436,288.0,77,0,3.09,CL,1717020057,14.850000000000023
105,rio grande,-32.035,-52.0986,288.21,82,56,2.96,BR,1717020332,15.060000000000002
106,dubbo,-32.25,148.6167,282.22,87,100,2.06,AU,1717020349,9.07000000000005
107,kodinsk,58.6881,99.1844,278.39,65,51,3.2,RU,1717020349,5.240000000000009
108,kapuskasing,49.4169,-82.4331,288.2,29,0,5.14,CA,1717020350,15.050000000000011
109,barcelos,41.5388,-8.6151,293.06,88,24,2.15,PT,1717020210,19.910000000000025
110,hawaiian paradise park,19.5933,-154.9731,299.88,77,75,6.17,US,1717020351,26.730000000000018
111,georgetown,5.4112,100.3354,303.12,83,20,1.54,MY,1717020114,29.970000000000027
112,tura,25.5198,90.2201,298.51,98,100,3.87,IN,1717020351,25.360000000000014
113,brandon,27.9378,-82.2859,310.0,39,0,4.92,US,1717020104,36.85000000000002
114,redondela,42.2834,-8.6096,293.7,68,0,5.66,ES,1717020352,20.55000000000001
115,luderitz,-26.6481,15.1594,287.53,94,51,2.39,NA,1717020353,14.379999999999995
116,mumford,5.2618,-0.759,300.84,81,62,6.15,GH,1717020353,27.689999999999998
117,aasiaat,68.7098,-52.8699,272.63,82,100,7.73,GL,1717020354,-0.5199999999999818
118,ipilan,8.8431,117.9033,300.44,84,100,1.82,PH,1717020354,27.29000000000002
119,carnarvon,-24.8667,113.6333,288.43,59,0,6.89,AU,1717020355,15.28000000000003
120,ierapetra,35.01,25.7353,294.34,69,2,0.89,GR,1717020355,21.189999999999998
121,esikhaleni,-28.871,31.8996,291.98,86,0,5.16,ZA,1717020129,18.83000000000004
122,albany,42.6001,-73.9662,296.38,47,86,2.78,US,1717020197,23.230000000000018
123,nguigmi,14.2495,13.1092,305.49,41,0,2.28,NE,1717020357,32.34000000000003
124,chernyshevskiy,63.0128,112.4714,288.51,54,32,1.42,RU,1717020357,15.360000000000014
125,deqen,29.9618,90.7188,282.47,68,1,2.28,CN,1717020101,9.32000000000005
126,mabaruma,8.2,-59.7833,300.15,83,43,2.04,GY,1717020358,27.0
127,bathsheba,13.2167,-59.5167,302.49,79,20,9.77,BB,1717020359,29.340000000000032
128,hilo,19.7297,-155.09,300.0,83,75,6.17,US,1717020258,26.850000000000023
129,tanumah,27.1,44.1333,305.73,12,9,4.43,SA,1717020360,32.58000000000004
130,walvis bay,-22.9575,14.5053,289.68,82,88,3.6,NA,1717020360,16.53000000000003
131,carlsbad,33.1581,-117.3506,300.8,69,0,4.63,US,1717020317,27.650000000000034
132,qarazhal,48.0078,70.7903,286.95,43,25,4.82,KZ,1717020138,13.800000000000011
133,talnakh,69.4865,88.3972,270.16,82,100,0.89,RU,1717020363,-2.9899999999999523
134,kyzyl-suu,42.3414,78.0056,282.34,86,99,2.06,KG,1717020363,9.189999999999998
135,utrik,11.2278,169.8474,301.01,79,92,5.74,MH,1717020364,27.860000000000014
136,dudinka,69.4058,86.1778,267.41,89,100,3.13,RU,1717020364,-5.739999999999952
137,kruisfontein,-34.0033,24.7314,293.09,26,4,5.32,ZA,1717020365,19.939999999999998
138,al jawf,29.5,38.75,298.64,26,0,7.32,SA,1717020365,25.49000000000001
139,sierakowice,54.3461,17.8925,286.03,93,31,2.93,PL,1717020366,12.879999999999995
140,fortuna,40.5982,-124.1573,292.79,55,20,7.72,US,1717020366,19.640000000000043
141,khilok,51.3674,110.4676,280.82,88,100,0.83,RU,1717020367,7.670000000000016
142,tevriz,57.509,72.4042,269.72,71,6,1.48,RU,1717020368,-3.42999999999995
143,huron,41.1501,-82.5499,290.85,79,93,6.92,US,1717020368,17.700000000000045
144,ancud,-41.8697,-73.8203,282.7,83,97,4.54,CL,1717020369,9.550000000000011
145,tazovsky,67.4667,78.7,263.99,96,75,3.92,RU,1717020133,-9.159999999999968
146,balotra,25.8333,72.2333,302.04,74,0,9.95,IN,1717020370,28.890000000000043
147,saipan,15.1355,145.701,302.54,74,40,5.14,MP,1717020370,29.390000000000043
148,el hadjira,32.6134,5.5126,303.78,23,0,4.72,DZ,1717020371,30.629999999999995
149,burang,30.25,81.1667,275.95,79,42,2.05,CN,1717020371,2.8000000000000114
150,yuzhno-kurilsk,44.0306,145.8556,277.8,98,100,3.0,RU,1717020372,4.650000000000034
151,belmonte,-15.8631,-38.8828,297.52,78,92,2.43,BR,1717020105,24.370000000000005
152,porto novo,6.4965,2.6036,302.05,82,47,3.41,BJ,1717020373,28.900000000000034
153,arraial do cabo,-22.9661,-42.0278,295.07,68,100,5.66,BR,1717020373,21.920000000000016
154,sitka,57.0531,-135.33,283.09,76,100,0.0,US,1717020374,9.939999999999998
155,maralal,1.0968,36.698,289.14,82,96,1.57,KE,1717020374,15.990000000000009
156,namtsy,62.7161,129.6658,293.1,49,100,1.3,RU,1717020375,19.950000000000045
